,Unnamed: 0,M_ORIGIN,M_DESTINATION,D_LANDMARK,D_TYPE,O_LANDMARK,O_TYPE,START_TIME,TRIP_SEQUENCE,TOTAL_TIME,ACCESS_MODE,ACCESS_TIME,ACCESS_DISTANCE,WT_FS,EGRESS_MODE,EGRESS_TIME,EGRESS_DISTANCE,WT_FIS,BICYCLE_USE,TRANSFER_TIME,WAITING_TIME_SECOND_STOP,PASS,TOTAL_COST,CROWDING,GENDER,S_1,S_2,S_3,AGE,EDUCATION,OCCUPATION,INCOME,CARS,TWO_WHEELER,N_BICYCLES,OTHERS,PARKING,RENT,PARK,DESTINATION,ORIGIN,TRIP,AGE_C,ACCESS_DIS,EGRESS_DIS,RENT_BICYCLE,MALE,ACCESS_M,EGRESS_M
569,569,Srirampura (green line),Chickpet (green line),Chikpete,Shopping,Rajajinagar navarang,Home,11:30:00,Metro ,20,Two-Wheeler ,10,4 km to 4.5 km ,8,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,,,No ,15,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was not making this trip earlier ,36-45 yrs ,12th,Unemployed,,0.0,2,0,0,"No, I will not use a bicycle. .",5,3,4,1,1,3,10,3,1,0,3,1
572,572,Srirampura (green line),Jayaprakash Nagar (green line),Bannnerghatta road,Work,Malleshwaram,Home,11:40:00,Metro ,60,Auto Rickshaw ,10,2 km to 2.5 km ,9,Auto Rickshaw ,15,4 km to 4.5 km ,5.0,For both access and egress trips ,,,Metro card ,130,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Postgraduate,Employed,,1.0,2,0,0,"No, I will not use a bicycle. .",5,3,2,1,1,2,11,10,3,0,5,5
573,573,Srirampura (green line),Jayaprakash Nagar (green line),"Khmer kitchen,jp nagar",Restaurant,"Sanjay nagar , ramaiah hospital ",Home,11:20:00,Metro ,50,Ola/Uber car ,30,4 km to 4.5 km ,9,Walk ,10,1.5 km to 2 km ,,For egress trip only ,,,Metro card ,150,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,36-45 yrs ,Graduate,Employed,>2 Lakhs,2.0,0,1,0,"No, I will not use a bicycle. .",5,3,5,1,1,3,10,2,4,0,6,1
576,576,Attiguppe (purple line),Swami Vivekananda Road (purple line),"ITPL, whitefield ",Work,"Attiguppe,RPC layout ",Home,11:45:00,Metro + Bus ,90,Walk ,5,< 0.5 km ,7,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,3.0,5.0,Metro card ,0,No crowding  - Most ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,,0.0,1,0,0,"No, I will not use a bicycle. .",5,3,2,1,3,1,1,1,1,0,1,1
580,580,Srirampura (green line),Krishna Rajendra Market (green line),Flower market ,Shopping,Prakash nagar ll puram,Home,12:00:00,Metro ,30,Walk ,10,0.5 to 1 km ,8,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was not making this trip earlier ,36-45 yrs ,Graduate,Daily,,0.0,1,0,0,"No, I will not use a bicycle. .",5,3,4,1,1,3,3,3,1,0,1,1
581,581,Attiguppe (purple line),Mantri Square Sampige Road (green line),"Sheshadripuram college,",School,"Attiguppe, near bhunt's sangha school",Home,12:10:00,Metro ,40,Walk ,3,< 0.5 km ,7,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,1.0,1,0,0,"No, I will not use a bicycle. .",5,3,3,1,1,1,1,3,1,0,1,1
584,584,Srirampura (green line),Chickpet (green line),"Chickpete, sudharshan silks ",Work,"Shrirampura, Gayatri Nagar",Home,00:00:00,Bus + Metro ,20,Walk ,5,< 0.5 km ,3,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,3.0,7.0,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,12th,Employed,,0.0,1,0,0,"No, I will not use a bicycle. .",5,3,2,1,2,1,1,1,1,0,1,1
587,587,Srirampura (green line),National College (green line),Jain college ,School,Srirampur metro station ,Home,12:20:00,Metro ,30,Walk ,5,< 0.5 km ,9,Walk ,7,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,2.0,3,2,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",5,1,3,1,1,1,1,3,3,0,1,1
588,588,Attiguppe (purple line),"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Attiguppe Chandra layout ,Home,Majestic near,Social,12:20:00,Bus + Metro ,25,Walk ,2,< 0.5 km ,7,Walk ,6,< 0.5 km ,,For both access and egress trips ,5.0,7.0,Metro card ,0,No crowding  - Most ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,1.0,1,2,0,"No, I will not use a bicycle. .",5,3,1,6,2,1,1,1,3,0,1,1
589,589,Srirampura (green line),Mahatma Gandhi Road (purple line),Chruch st ,Restaurant,"Malleshwaram,mes college ",Home,12:10:00,Metro ,30,Dropped-off by friends/others ,10,1 km to 1.5 km ,9,Walk ,5,< 0.5 km ,,For access trip only ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Postgraduate,Student,>2 Lakhs,2.0,1,1,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",5,2,5,1,1,1,4,1,2,0,8,1
590,590,Srirampura (green line),Cubbon Park (purple line),Near cubbon park metro station ,Work,Shrirampura Metro station ,Home,12:30:00,Metro ,45,Walk ,10,< 0.5 km ,9,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Postgraduate,Employed,,0.0,0,0,0,"No, I will not use a bicycle. .",5,3,2,1,1,2,1,3,1,0,1,1
591,591,Srirampura (green line),"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Old airport road,Work,Rajajinagar ,Home,12:30:00,Metro + Bus ,120,Walk ,10,0.5 to 1 km ,9,Walk ,5,< 0.5 km ,,For both access and egress trips ,7.0,5.0,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Postgraduate,Employed,,0.0,0,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",5,2,2,1,3,1,3,1,3,0,1,1
593,593,Attiguppe (purple line),Chickpet (green line),Chikpett ,Shopping,"Kalyanagar,opp gandhi park",Home,12:30:00,Metro ,20,Dropped-off by friends/others ,10,2 km to 2.5 km ,7,Walk ,6,< 0.5 km ,,For both access and egress trips ,,,No ,22,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,36-45 yrs ,Graduate,Business,,1.0,1,1,0,"No, I will not use a bicycle. .",5,3,4,1,1,3,11,1,3,0,8,1
595,595,Srirampura (green line),National College (green line),BMSCCM college ,School,Shankar mata,Other,12:10:00,Bus + Metro ,60,Walk ,5,< 0.5 km ,5,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,7.0,9.0,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,0.0,1,0,0,"No, I will not use a bicycle. .",5,3,3,8,2,1,1,1,1,0,1,1
596,596,Srirampura (green line),Jayanagar (green line),Jaynagar 4th block ,Work,Shrirampura ,Home,12:40:00,Metro ,30,Walk ,7,0.5 to 1 km ,9,Walk ,8,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Trade,Employed,,0.0,1,0,0,"No, I will not use a bicycle. .",5,3,2,1,1,1,3,3,1,0,1,1
599,599,Srirampura (green line),Krishna Rajendra Market (green line),Flower market ,Work,Srirampura harishcandra ghat,Home,12:30:00,Metro ,30,Walk ,15,1.5 km to 2 km ,9,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,46-60 yrs ,10th,Daily,,0.0,0,0,0,"No, I will not use a bicycle. .",5,3,2,1,1,4,2,3,1,0,1,1
600,600,Srirampura (green line),Chickpet (green line),Chickpete ,Shopping,Shrirampura,Home,00:50:00,Metro ,20,Dropped-off by friends/others ,5,0.5 to 1 km ,9,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,No ,30,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Unemployed,,0.0,1,0,0,"No, I will not use a bicycle. .",5,3,4,1,1,1,3,1,1,0,8,1
602,602,Srirampura (green line),Jayaprakash Nagar (green line),"Iliyaz nagar,jp nagar ",Home,Kle college ,School,13:15:00,Metro ,30,Walk ,10,< 0.5 km ,9,Walk ,15,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,0.0,1,0,0,"No, I will not use a bicycle. .",5,3,1,3,1,1,1,3,1,0,1,1
603,603,Mahakavi Kuvempu Road (green line),Rashtreeya Vidyalaya Road (green line),Near metro,Friend,ESI,School,13:00:00,Bus + Metro ,30,Walk ,7,0.5 to 1 km ,5,Auto Rickshaw ,10,2.5 km to 3 km ,5.0,For neither access nor egress trips ,7.0,9.0,No ,30,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,0.0,2,0,0,Not Applicable - because neither ends of my trip is home. .,5,4,7,3,2,1,3,7,1,0,1,5
604,604,Mahakavi Kuvempu Road (green line),Mahatma Gandhi Road (purple line),Byappanahalli metro,Other,Rajajinagar navarang theater  ,Home,01:30:00,Metro + Bus ,60,Walk ,7,0.5 to 1 km ,9,Walk ,7,0.5 to 1 km ,,For neither access nor egress trips ,7.0,5.0,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,0.0,1,0,0,"No, I will not use a bicycle. .",5,3,8,1,3,1,3,3,1,0,1,1
605,605,Mahakavi Kuvempu Road (green line),National College (green line),Jain college ,School,"Mahakavi kuvempu road,metro station ",Home,01:30:00,Metro ,30,Walk ,10,0.5 to 1 km ,8,Walk ,7,< 0.5 km ,,For access trip only ,,,Metro card ,0,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,1.0,1,1,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",5,2,3,1,1,1,3,1,2,0,1,1
606,606,Mahakavi Kuvempu Road (green line),Krishna Rajendra Market (green line),Victoria hospital ,Work,Near Vijay dental hospital ,Home,13:40:00,Metro ,30,Walk ,10,< 0.5 km ,8,Walk ,10,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,,0.0,1,0,0,"No, I will not use a bicycle. .",5,3,2,1,1,1,1,1,1,0,1,1
607,607,Mahakavi Kuvempu Road (green line),Jayanagar (green line),Jaynagar 4th block,Shopping,Near metro station ,Home,13:40:00,Metro ,30,Walk ,10,0.5 to 1 km ,9,Walk ,15,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was not making this trip earlier ,36-45 yrs ,Graduate,Unemployed,,1.0,2,0,0,"No, I will not use a bicycle. .",5,3,4,1,1,3,3,3,1,0,1,1
609,609,Mahakavi Kuvempu Road (green line),Chickpet (green line),Chikpete ,Shopping,Nagasandra ikea,Home,01:00:00,Metro ,60,Dropped-off by friends/others ,30,> 5 km ,9,Walk ,15,1 km to 1.5 km ,,For both access and egress trips ,,,No ,18,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was not making this trip earlier ,18-25 yrs ,Graduate,Student,,2.0,2,0,0,"No, I will not use a bicycle. .",5,3,4,1,1,1,8,4,3,0,8,1
611,611,Mahakavi Kuvempu Road (green line),Chickpet (green line),Chickpete market,Shopping,Mahakavi kuvempu road,Friend,14:00:00,Metro ,15,Walk ,10,< 0.5 km ,8,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,No ,18,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Trade,Student,,0.0,0,0,0,"No, I will not use a bicycle. .",5,3,4,7,1,1,1,1,1,0,1,1
612,612,Mahakavi Kuvempu Road (green line),Mahatma Gandhi Road (purple line),Church street,Restaurant,Near metro,Home,14:00:00,Metro ,25,Walk ,10,0.5 to 1 km ,8,Walk ,13,1 km to 1.5 km ,,For both access and egress trips ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was not making this trip earlier ,18-25 yrs ,Graduate,Student,,2.0,3,1,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",5,2,5,1,1,1,3,4,3,0,1,1
613,613,Mahakavi Kuvempu Road (green line),Cubbon Park (purple line),Indian express,Work,"Mahakavi kuvempu road,near metro station ",Home,14:10:00,Metro ,30,Walk ,7,< 0.5 km ,8,Walk ,15,0.5 to 1 km ,,For egress trip only ,,,Metro card ,0,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,36-45 yrs ,Postgraduate,Employed,>2 Lakhs,1.0,2,1,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",5,2,2,1,1,3,1,3,4,0,1,1
614,614,"Sir.M.Visvesvaraya Stn., Central College (purple line)",Vijayanagar (purple line),"Vijaynagar, service road",Work,"Palace road, near central college ",Work,14:35:00,Metro ,45,Walk ,5,< 0.5 km ,7,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,46-60 yrs ,Postgraduate,Employed,,0.0,0,0,0,"No, I will not use a bicycle. .",5,3,2,2,1,4,1,3,1,0,1,1
618,618,"Sir.M.Visvesvaraya Stn., Central College (purple line)",Rashtreeya Vidyalaya Road (green line),"BTM layou, jaydeva hospital ",Home,Home Science college adjacent to freedom park,School,14:45:00,Metro ,45,Walk ,15,0.5 to 1 km ,7,Walk ,20,> 5 km ,,For neither access nor egress trips ,,,Metro card ,45,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,36-45 yrs ,Postgraduate,Employed,,1.0,1,0,0,"No, I will not use a bicycle. .",5,3,1,3,1,3,3,8,1,0,1,1
621,621,"Sir.M.Visvesvaraya Stn., Central College (purple line)",Yelachenahalli (green line),"ISRO layout, yelachenahalli, abdulkalam park",Home,Mysore bank ,Other,14:50:00,Metro ,60,Walk ,10,< 0.5 km ,7,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,46-60 yrs ,12th,Unemployed,,1.0,3,1,0,"No, I will not use a bicycle. .",5,3,1,8,1,4,1,3,1,0,1,1
623,623,Mahakavi Kuvempu Road (green line),Banashankari (green line),Banashankari temple ,Social,Navarang,Home,15:00:00,Metro ,40,Walk ,10,0.5 to 1 km ,8,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,No ,35,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,36-45 yrs ,Postgraduate,Unemployed,,2.0,1,1,0,"No, I will not use a bicycle. .",5,3,6,1,1,3,3,1,1,0,1,1
624,624,Mahakavi Kuvempu Road (green line),Jayanagar (green line),Jaynagar park,Work,"Bbmp hospital,kamla nagar ",Home,14:50:00,Bus + Metro ,45,Walk ,2,< 0.5 km ,5,Walk ,10,1 km to 1.5 km ,,For neither access nor egress trips ,3.0,10.0,Metro card ,0,No crowding  - Most ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Trade,Employed,,0.0,1,0,0,"No, I will not use a bicycle. .",5,3,2,1,2,1,1,4,1,0,1,1
627,627,"Sir.M.Visvesvaraya Stn., Central College (purple line)",Mahakavi Kuvempu Road (green line),"Gayathri nagar, near more",Home,UVCE college ,School,15:28:00,Metro ,25,Walk ,3,< 0.5 km ,7,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,1.0,1,0,0,"No, I will not use a bicycle. .",5,3,1,3,1,1,1,1,1,0,1,1
629,629,Mahakavi Kuvempu Road (green line),Nagasandra (green line),Ikea,Shopping,Near metro ,Home,15:30:00,Metro ,20,Walk ,15,0.5 to 1 km ,9,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was not making this trip earlier ,36-45 yrs ,Graduate,Unemployed,,1.0,1,0,0,"No, I will not use a bicycle. .",5,3,4,1,1,3,3,3,1,0,1,1
631,631,Mahakavi Kuvempu Road (green line),Sandal Soap Factory (green line),Metro wholesale ,Shopping,Near kle college ,Home,15:30:00,Metro ,30,Walk ,10,0.5 to 1 km ,9,Walk ,7,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,36-45 yrs ,12th,Unemployed,,1.0,1,0,0,"No, I will not use a bicycle. .",5,3,4,1,1,3,3,3,1,0,1,1
