,Unnamed: 0,M_ORIGIN,M_DESTINATION,D_LANDMARK,D_TYPE,O_LANDMARK,O_TYPE,START_TIME,TRIP_SEQUENCE,TOTAL_TIME,ACCESS_MODE,ACCESS_TIME,ACCESS_DISTANCE,WT_FS,EGRESS_MODE,EGRESS_TIME,EGRESS_DISTANCE,WT_FIS,BICYCLE_USE,TRANSFER_TIME,WAITING_TIME_SECOND_STOP,PASS,TOTAL_COST,CROWDING,GENDER,S_1,S_2,S_3,AGE,EDUCATION,OCCUPATION,INCOME,CARS,TWO_WHEELER,N_BICYCLES,OTHERS,PARKING,PARK,DESTINATION,ORIGIN,TRIP,ACCESS_DIS,EGRESS_DIS,RENT_BICYCLE,AGE_NEW,MALE,ACCESS,EGRESS
440,440,Konanakunte Cross (green line),Mahalakshmi (green line),Mahalaxmi layout ,Friend,"Konankunte cross,metro station ",Home,10:45:00,Metro ,30,Walk ,7,< 0.5 km ,7,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,,,No ,45,High crowding - All seats AND 50-75% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,12th,Unemployed,,0.0,1,0,0,"No, I will not use a bicycle. .",3,7,1,1,1,3,1,3,0,1,1
450,450,Mahakavi Kuvempu Road (green line),Banashankari (green line),Near temple ,Other,Gayatrinagar post office,Home,00:00:00,Metro ,20,Walk ,3,< 0.5 km ,7,Walk ,3,< 0.5 km ,,For neither access nor egress trips ,,,No ,40,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was not making this trip earlier ,26-35 yrs ,Postgraduate,Employed,,0.0,1,1,0,"No, I will not use a bicycle. .",3,8,1,1,1,1,1,3,0,1,1
451,451,Mahakavi Kuvempu Road (green line),Konanakunte Cross (green line),Forum mall,Work,"Navrang kabab korner, Rajajinagar ",Home,11:50:00,Metro ,30,Walk ,10,0.5 to 1 km ,8,Walk ,3,< 0.5 km ,,For access trip only ,,,Metro card ,0,No crowding  - 50-75% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,>2 Lakhs,2.0,1,0,0,"No, I will not use a bicycle. .",3,2,1,1,3,1,2,2,0,1,1
457,457,Mahakavi Kuvempu Road (green line),Chickpet (green line),"Chickpete,sudharshan silk",Shopping,Prakash nagar,Home,11:45:00,Metro ,45,Walk ,25,1 km to 1.5 km ,8,Walk ,15,1 km to 1.5 km ,,For neither access nor egress trips ,,,No ,18,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,46-60 yrs ,Graduate,Employed,,0.0,0,0,0,"No, I will not use a bicycle. .",3,4,1,1,4,4,1,4,0,1,1
459,459,Mahakavi Kuvempu Road (green line),Swami Vivekananda Road (purple line),Marathhalli,Work,Gayatri nagar,Home,00:40:00,Metro ,90,Walk ,2,< 0.5 km ,7,Office shuttle ,60,> 5 km ,5.0,For access trip only ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Postgraduate,Employed,"50,001 – 1,00,000",1.0,2,0,0,"No, I will not use a bicycle. .",3,2,1,1,1,8,2,3,0,1,0
463,463,Mahakavi Kuvempu Road (green line),Chickpet (green line),"Chickpete ,sudharshan silks",Shopping,Manjushri medicals ,Home,12:30:00,Metro ,20,Walk ,10,0.5 to 1 km ,8,Walk ,15,0.5 to 1 km ,,For neither access nor egress trips ,,,No ,36,No crowding  - 50-75% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Trade,Unemployed,,1.0,2,0,0,"No, I will not use a bicycle. .",3,4,1,1,3,3,1,2,0,1,1
472,472,Mahakavi Kuvempu Road (green line),National College (green line),DvG road,Friend,Gayatri nagar public library ,Home,12:55:00,Metro ,15,Walk ,5,< 0.5 km ,7,Walk ,15,1 km to 1.5 km ,,For both access and egress trips ,,,No ,21,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was not making this trip earlier ,26-35 yrs ,Graduate,Employed,,0.0,0,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",2,7,1,1,1,4,3,3,0,1,1
475,475,Mahakavi Kuvempu Road (green line),Indiranagar (purple line),"Indiranagar, truffles",Friend,Mahakavi kuvempu road ,Home,13:15:00,Metro ,45,Walk ,7,< 0.5 km ,8,Walk ,7,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - 25-50% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,1.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",2,7,1,1,1,1,1,2,0,1,1
480,480,Nagasandra (green line),Mahakavi Kuvempu Road (green line),In METRO ,Work,Madanayakana halli,Home,12:55:00,Metro ,40,Dropped-off by friends/others ,15,3.5 km to 4 km ,8,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Trade,Employed,,0.0,3,0,0,"No, I will not use a bicycle. .",3,2,1,1,9,1,1,2,0,0,1
481,481,Mahakavi Kuvempu Road (green line),National College (green line),Basvangudi,School,"Rajajinagar,Brahmins tatte idli ",Home,13:15:00,Metro + Bus ,60,Dropped-off by friends/others ,15,3.5 km to 4 km ,8,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,4.0,13.0,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Trade,Student,,0.0,1,0,0,"No, I will not use a bicycle. .",3,3,1,3,9,1,1,2,0,0,1
485,485,Mahakavi Kuvempu Road (green line),Jayanagar (green line),Jaynagar 4th block ,Shopping,Rajajinagar 4th blcok,Home,13:45:00,Metro ,20,Auto Rickshaw ,5,0.5 to 1 km ,8,Auto Rickshaw ,10,0.5 to 1 km ,5.0,For neither access nor egress trips ,,,No ,60,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,46-60 yrs ,12th,Unemployed,,0.0,1,0,0,"No, I will not use a bicycle. .",3,4,1,1,3,3,1,4,0,4,4
492,492,Srirampura (green line),National College (green line),Jain college ,School,"Sai Baba temple,srirampura",Home,14:50:00,Metro ,40,Walk ,15,0.5 to 1 km ,8,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,1.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",2,3,1,1,3,3,3,2,0,1,1
493,493,Srirampura (green line),Chickpet (green line),Chikpete market,Work,Gayatri nagar,Home,15:00:00,Metro ,15,Walk ,7,0.5 to 1 km ,8,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,46-60 yrs ,10th,Daily,,0.0,0,0,0,"No, I will not use a bicycle. .",3,2,1,1,3,3,1,4,0,1,1
494,494,Srirampura (green line),Banashankari (green line),Banashankari temple ,Social,Srirampura 5th cross,Home,15:15:00,Metro ,40,Walk ,15,1 km to 1.5 km ,9,Walk ,7,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,30,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,46-60 yrs ,10th,Unemployed,,0.0,1,0,0,"No, I will not use a bicycle. .",3,6,1,1,4,1,1,4,0,1,1
495,495,Srirampura (green line),Jayanagar (green line),Jaynagar 3rd block,Work,"Shrirampura,gayatri nagar",Home,15:30:00,Metro ,30,Walk ,5,< 0.5 km ,8,Auto Rickshaw ,5,0.5 to 1 km ,4.0,For neither access nor egress trips ,,,Metro card ,0,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,46-60 yrs ,10th,Unemployed,,0.0,1,0,0,"No, I will not use a bicycle. .",3,2,1,1,1,3,1,4,0,1,4
498,498,Srirampura (green line),Konanakunte Cross (green line),Forum mall,Shopping,Near to metro,Home,15:30:00,Metro ,35,Walk ,10,0.5 to 1 km ,9,Walk ,5,< 0.5 km ,,For access trip only ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,1.0,2,1,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",2,4,1,1,3,1,2,2,0,1,1
499,499,Srirampura (green line),Banashankari (green line),Banashankari temple,Friend,Shrirampura metro station ,Home,15:40:00,Metro ,30,Dropped-off by friends/others ,5,0.5 to 1 km ,7,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - 50-75% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,36-45 yrs ,12th,Unemployed,,1.0,2,0,0,"No, I will not use a bicycle. .",3,7,1,1,3,1,1,1,0,0,1
502,502,Srirampura (green line),"Sir.M.Visvesvaraya Stn., Central College (purple line)",Central Civil Court ,Work,Gayatri nagar ,Home,15:45:00,Metro ,30,Two-Wheeler ,5,1.5 km to 2 km ,8,Walk ,10,< 0.5 km ,,For access trip only ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,36-45 yrs ,Postgraduate,Employed,,1.0,2,1,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",2,2,1,1,2,1,2,1,0,0,1
509,509,Srirampura (green line),Banashankari (green line),Temple,Social,Near metro,Home,16:00:00,Metro ,40,Dropped-off by friends/others ,7,2 km to 2.5 km ,6,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,46-60 yrs ,12th,Unemployed,,0.0,2,0,0,"No, I will not use a bicycle. .",3,6,1,1,11,1,1,4,0,0,1
510,510,Srirampura (green line),Konanakunte Cross (green line),"Konankunte cross, anjanadri road ",Friend,Shrirampura police station ,Home,16:00:00,Metro ,45,Auto Rickshaw ,5,0.5 to 1 km ,7,Auto Rickshaw ,8,0.5 to 1 km ,5.0,For neither access nor egress trips ,,,Metro card ,76,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,46-60 yrs ,12th,Unemployed,,1.0,1,0,0,"No, I will not use a bicycle. .",3,7,1,1,3,3,1,4,0,4,4
527,527,Baiyappanahalli (purple line),Kengeri (purple line),"Kaadumane, south Indian bank",Work,"Ramurthynagar, TCpalya main road",Home,08:15:00,Metro ,105,Two-Wheeler ,15,4.5 km to 5 km ,4,Dropped-off by friends/others ,30,> 5 km ,0.0,For access trip only ,,,Metro card ,30,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Employed,,1.0,2,0,0,"No, I will not use a bicycle. .",3,2,1,1,6,8,2,3,0,0,0
528,528,Lalbagh (green line),Pattanagere (purple line),Rv college ,Work,"Btm layout,Indian oil petrol bunk",Home,08:30:00,Metro ,60,Auto Rickshaw ,20,3.5 km to 4 km ,3,Walk ,5,< 0.5 km ,,For access trip only ,,,Metro card ,80,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,12th,Student,"50,001 – 1,00,000",1.0,2,1,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",2,2,1,1,9,1,2,2,0,4,1
529,529,Srirampura (green line),Banashankari (green line),Katriguppe,Work,Srirampura near metro,Home,09:25:00,Metro + Bus ,60,Walk ,5,0.5 to 1 km ,5,Walk ,7,0.5 to 1 km ,,For both access and egress trips ,5.0,5.0,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,,0.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",2,2,1,3,3,3,3,2,0,1,1
530,530,Srirampura (green line),Yelachenahalli (green line),"Metro wholesale ,yellachenahalli",Work,Sadashivnagar,Home,09:00:00,Bus + Metro ,60,Walk ,10,0.5 to 1 km ,7,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,3.0,5.0,Ordinary Monthly Pass ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Not eligible ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Employed,,1.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",2,2,1,2,3,1,1,3,0,1,1
532,532,Srirampura (green line),Jayanagar (green line),NMKRV college ,School,Srirampura near to metro,Home,09:15:00,Metro ,40,Walk ,7,< 0.5 km ,6,Walk ,5,< 0.5 km ,,For both access and egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,0.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",2,3,1,1,1,1,3,2,0,1,1
533,533,Srirampura (green line),Banashankari (green line),Banshakari temple,Work,Near ioc petrol bunk ,Home,09:25:00,Metro ,22,Walk ,7,< 0.5 km ,6,Walk ,4,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,,0.0,0,0,0,"No, I will not use a bicycle. .",3,2,1,1,1,1,1,2,0,1,1
535,535,Srirampura (green line),"Sir.M.Visvesvaraya Stn., Central College (purple line)",In central Agriculture office,Work,Malleswaram ,Home,09:40:00,Metro ,35,Two-Wheeler ,15,> 5 km ,6,Walk ,7,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,36-45 yrs ,Postgraduate,Employed,,1.0,1,1,0,"No, I will not use a bicycle. .",3,2,1,1,8,3,1,1,0,0,1
536,536,Srirampura (green line),Jayaprakash Nagar (green line),"Kalyani magnum, Banashankari ",Work,Metro station ,Home,09:40:00,Metro ,25,Walk ,3,< 0.5 km ,6,Auto Rickshaw ,10,1 km to 1.5 km ,5.0,For egress trip only ,,,Metro card ,80,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,36-45 yrs ,Graduate,Employed,>2 Lakhs,1.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",2,2,1,1,1,4,4,1,0,1,4
539,539,Srirampura (green line),Indiranagar (purple line),Near mc Donald ,Work,Malleshwaram ,Home,09:40:00,Metro ,90,Auto Rickshaw ,13,2 km to 2.5 km ,6,Ola/Uber car ,10,4 km to 4.5 km ,5.0,For neither access nor egress trips ,,,Metro card ,200,High crowding - All seats AND 50-75% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Employed,,1.0,2,0,0,"No, I will not use a bicycle. .",3,2,1,1,11,10,1,3,0,4,6
540,540,Srirampura (green line),Jayaprakash Nagar (green line),"Near Rameshwaram cafe, jp nagar",Work,"Gaytri nagar ,SVN school",Home,09:55:00,Metro ,40,Dropped-off by friends/others ,5,0.5 to 1 km ,6,Auto Rickshaw ,10,2 km to 2.5 km ,3.0,For both access and egress trips ,,,Metro card ,100,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Employed,>2 Lakhs,1.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",2,2,1,1,3,11,3,3,0,0,4
541,541,Srirampura (green line),Konanakunte Cross (green line),Near forum mall,Work,"Rajijnagar,near Modi hospital ",Home,08:55:00,Metro ,30,Dropped-off by friends/others ,10,1.5 km to 2 km ,6,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,"10,001 – 25,000",1.0,1,0,0,"No, I will not use a bicycle. .",3,2,1,1,2,1,1,2,0,0,1
542,542,Srirampura (green line),National College (green line),BIT,School,Maleeshwaram,Home,10:00:00,Metro ,25,Walk ,7,0.5 to 1 km ,6,Walk ,7,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,2.0,2,1,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",2,3,1,1,3,3,1,2,0,1,1
544,544,Rajarajeshwari Nagar (purple line),Baiyappanahalli (purple line),"Beedrahalli, near east point college ",Other,"Nagadevanahalli, 13th E main road upadhyaya layout ",Home,09:30:00,Bus + Metro ,90,Walk ,5,< 0.5 km ,3,Walk ,5,< 0.5 km ,,For both access and egress trips ,2.0,1.0,No ,50,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was not making this trip earlier ,36-45 yrs ,10th,Employed,,0.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",1,8,1,2,1,1,3,1,0,1,1
